component_id,area,perimeter,circularity,solidity,elongation,aspect_ratio,skeleton_length,mean_blackhat,mean_gray,std_gray,passes_filter,is_elongated,is_high_contrast,image,date
1,1581,161.41421353816986,0.7625321954550857,0.9657910812461821,1.299271444173161,0.9302325581395349,144,8.387096774193548,0.0,0.0,False,False,False,larva_001,18.10
1,1243,142.0,0.7746478215457474,0.9880763116057234,1.0,0.9210526315789473,96,6.359613837489944,0.0,0.0,False,False,False,larva_002,18.10
1,50561,2185.7829537391663,0.13298769217570042,0.3519367974106428,2.4035142485740777,0.47205707491082044,2284,7.418860386463876,0.0,0.0,True,True,False,larva_003,18.10
2,5,5.656854152679443,1.9634954757012075,2.5,1.0,1.0,1,255.0,0.0,0.0,True,False,True,larva_003,18.10
1,9338,526.0660158395767,0.4240169712484615,0.6529841613929583,3.35165969197347,0.42408376963350786,577,25.88777040051403,0.0,0.0,True,True,False,larva_004,18.10
2,293,82.81118142604828,0.5369075651016957,0.9199372056514914,1.091008983138643,0.92,36,255.0,0.0,0.0,True,False,True,larva_004,18.10
3,8,8.485281229019165,1.3962634493875254,2.0,1.0,1.0,2,255.0,0.0,0.0,True,False,True,larva_004,18.10
4,5,5.656854152679443,1.9634954757012075,2.5,1.0,1.0,1,255.0,0.0,0.0,True,False,True,larva_004,18.10
5,12,10.485281229019165,1.371610949657771,1.7142857142857142,1.4470095085109513,1.25,2,255.0,0.0,0.0,True,False,True,larva_004,18.10
6,8,8.485281229019165,1.3962634493875254,2.0,1.0,1.0,2,255.0,0.0,0.0,True,False,True,larva_004,18.10
7,132,71.982754945755,0.3201303629860453,0.7002652519893899,1.657390755486425,1.1111111111111112,26,255.0,0.0,0.0,True,True,True,larva_004,18.10
8,5,5.656854152679443,1.9634954757012075,2.5,1.0,1.0,1,255.0,0.0,0.0,True,False,True,larva_004,18.10
9,29,33.94112479686737,0.3163409399739902,0.8787878787878788,1.3600470885297935,1.125,9,255.0,0.0,0.0,True,False,True,larva_004,18.10
1,5014,366.8284270763397,0.4682396930743088,0.9415078396394705,2.5204984101779853,0.2483221476510067,306,27.056242520941364,0.0,0.0,False,False,False,larva_005,18.10
1,14698,708.4650719165802,0.3679859346875268,0.7241107498275692,8.747680208652284,1.2,560,3.7300993332426184,0.0,0.0,True,True,False,larva_006,18.10
1,2254,195.89949488639832,0.7380693035998155,0.9103392568659128,1.0784509862614722,1.125,157,9.27684117125111,0.0,0.0,False,False,False,larva_007,18.10
1,1395,154.0,0.7391671026746097,0.9412955465587044,1.0,1.0256410256410255,127,12.43010752688172,0.0,0.0,False,False,False,larva_008,18.10
1,2746,228.72792220115662,0.6595869087410904,0.8159263110979053,1.1298429502019238,0.8307692307692308,187,10.121995630007284,0.0,0.0,False,False,False,larva_009,18.10
1,2393,216.0,0.6445328549417332,0.8632756132756133,1.0,1.558139534883721,178,15.770998746343503,0.0,0.0,False,False,False,larva_010,18.10
1,9096,460.5512970685959,0.5388951762672547,0.6969847898547948,1.5146610467217372,0.8296296296296296,483,20.268799472295516,0.0,0.0,True,True,False,larva_001,18.10
2,8,8.485281229019165,1.3962634493875254,2.0,1.0,1.0,2,255.0,0.0,0.0,True,False,True,larva_001,18.10
3,5,5.656854152679443,1.9634954757012075,2.5,1.0,1.0,1,255.0,0.0,0.0,True,False,True,larva_001,18.10
4,11,11.313708066940308,1.0799225571509967,1.8333333333333333,1.0,1.0,3,255.0,0.0,0.0,True,False,True,larva_001,18.10
5,32,20.727921843528748,0.9359406659554398,1.2307692307692308,1.8069765379514027,0.875,5,255.0,0.0,0.0,True,False,True,larva_001,18.10
6,5,5.656854152679443,1.9634954757012075,2.5,1.0,1.0,1,255.0,0.0,0.0,True,False,True,larva_001,18.10
1,2119,196.82842707633972,0.6873298051814705,0.8729145211122554,1.3862074397368136,0.8363636363636363,179,21.901840490797547,0.0,0.0,False,False,False,larva_002,18.10
1,6250,409.899494767189,0.4674499474946351,0.945036667422696,8.95705833108234,0.24550898203592814,388,21.134400000000003,0.0,0.0,False,False,False,larva_003,18.10
1,17532,823.3178849220276,0.3250171117361562,0.7136402491146661,11.262713220225352,1.2294372294372293,674,3.636208076659822,0.0,0.0,True,True,False,larva_004,18.10
1,1216,142.0,0.7578211995169982,0.9696969696969697,1.0,1.1470588235294117,97,6.081414473684211,0.0,0.0,False,False,False,larva_001,18.10
1,4680,349.89949464797974,0.48036248917267815,0.6127659574468085,1.1722323533074275,0.7378640776699029,357,23.375,0.0,0.0,False,False,False,larva_002,18.10
2,5,5.656854152679443,1.9634954757012075,2.5,1.0,1.0,1,255.0,0.0,0.0,True,False,True,larva_002,18.10
3,8,8.485281229019165,1.3962634493875254,2.0,1.0,1.0,2,255.0,0.0,0.0,True,False,True,larva_002,18.10
4,5,5.656854152679443,1.9634954757012075,2.5,1.0,1.0,1,255.0,0.0,0.0,True,False,True,larva_002,18.10
5,19,14.485281229019165,1.1379144233270286,1.52,1.9957084250848156,1.75,4,255.0,0.0,0.0,True,False,True,larva_002,18.10
6,26,16.485281109809875,1.2022381292076676,1.4444444444444444,1.4058025580912643,0.7142857142857143,3,255.0,0.0,0.0,True,False,True,larva_002,18.10
1,1301,150.0,0.7266154741902793,0.9332855093256814,1.0,1.2,105,8.232129131437356,0.0,0.0,False,False,False,larva_003,18.10
1,5997,369.5391035079956,0.5518526229425386,0.8202708247845711,3.331906627943334,0.4962962962962963,286,5.7828914457228615,0.0,0.0,True,True,False,larva_004,18.10
1,1132,138.0,0.7469613282637357,0.9609507640067911,1.0,1.21875,90,14.191696113074205,0.0,0.0,False,False,False,larva_005,18.10
